Name,CorpName,DestroyedShips,Efficiency,DateLeft,EveWhoLink,ZKillboardLink,Id,CorpId
"Elan Thain","Xelrak Institute","","No Data","","https://evewho.com/character/2123884973","https://zkillboard.com/character/2123884973","2123884973","98808628"
"Nakan","Xelrak Institute","1","3.4%","","https://evewho.com/character/991515040","https://zkillboard.com/character/991515040","991515040","98808628"
"Elan Thain","Xelrak Institute","","No Data","","https://evewho.com/character/2123884973","https://zkillboard.com/character/2123884973","2123884973","98808628"
"Nakan","Xelrak Institute","1","3.4%","","https://evewho.com/character/991515040","https://zkillboard.com/character/991515040","991515040","98808628"
"Elan Thain","Xelrak Institute","","No Data","","https://evewho.com/character/2123884973","https://zkillboard.com/character/2123884973","2123884973","98808628"
"Nakan","Xelrak Institute","1","3.4%","","https://evewho.com/character/991515040","https://zkillboard.com/character/991515040","991515040","98808628"
"Elan Thain","Xelrak Institute","","No Data","","https://evewho.com/character/2123884973","https://zkillboard.com/character/2123884973","2123884973","98808628"
"Nakan","Xelrak Institute","1","3.4%","","https://evewho.com/character/991515040","https://zkillboard.com/character/991515040","991515040","98808628"
"Elan Thain","Xelrak Institute","","No Data","","https://evewho.com/character/2123884973","https://zkillboard.com/character/2123884973","2123884973","98808628"
"Nakan","Xelrak Institute","1","3.4%","","https://evewho.com/character/991515040","https://zkillboard.com/character/991515040","991515040","98808628"
"Elan Thain","Xelrak Institute","","No Data","","https://evewho.com/character/2123884973","https://zkillboard.com/character/2123884973","2123884973","98808628"
"Nakan","Xelrak Institute","1","3.4%","","https://evewho.com/character/991515040","https://zkillboard.com/character/991515040","991515040","98808628"
"Elan Thain","Xelrak Institute","","No Data","","https://evewho.com/character/2123884973","https://zkillboard.com/character/2123884973","2123884973","98808628"
"Nakan","Xelrak Institute","1","3.4%","","https://evewho.com/character/991515040","https://zkillboard.com/character/991515040","991515040","98808628"
"Elan Thain","Xelrak Institute","","No Data","","https://evewho.com/character/2123884973","https://zkillboard.com/character/2123884973","2123884973","98808628"
"Nakan","Xelrak Institute","1","3.4%","","https://evewho.com/character/991515040","https://zkillboard.com/character/991515040","991515040","98808628"
"Elan Thain","Xelrak Institute","","No Data","","https://evewho.com/character/2123884973","https://zkillboard.com/character/2123884973","2123884973","98808628"
"Nakan","Xelrak Institute","1","3.4%","","https://evewho.com/character/991515040","https://zkillboard.com/character/991515040","991515040","98808628"
"Elan Thain","Xelrak Institute","","No Data","","https://evewho.com/character/2123884973","https://zkillboard.com/character/2123884973","2123884973","98808628"
"Nakan","Xelrak Institute","1","3.4%","","https://evewho.com/character/991515040","https://zkillboard.com/character/991515040","991515040","98808628"
"Elan Thain","Xelrak Institute","","No Data","","https://evewho.com/character/2123884973","https://zkillboard.com/character/2123884973","2123884973","98808628"
"Nakan","Xelrak Institute","1","3.4%","","https://evewho.com/character/991515040","https://zkillboard.com/character/991515040","991515040","98808628"
"Elan Thain","Xelrak Institute","","No Data","","https://evewho.com/character/2123884973","https://zkillboard.com/character/2123884973","2123884973","98808628"
"Nakan","Xelrak Institute","1","3.4%","","https://evewho.com/character/991515040","https://zkillboard.com/character/991515040","991515040","98808628"